URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
B714,Alliance,Shell,SHELL COLES EXPRESS GILGANDRA,PORTION 101 NEWELL HIGHWAY (CNR TOORAWEENAH ROAD),GILGANDRA,NSW,2827,-31.70311616,148.6786298,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
A153,Alliance,Shell,SHELL COLES EXPRESS GOULBURN BIG MERINO,1-3 SOWERBY ST,GOULBURN,NSW,2580,-34.77309819,149.6916286,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
A356,Alliance,Shell,SHELL COLES EXPRESS GUNDAGAI TUCKERBOX,9321 HUME HIGHWAY (CNR ANNIE PYERS DVE),GUNDAGAI,NSW,2722,-35.00416792,148.1110315,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A510,Alliance,Shell,SHELL COLES EXPRESS GUNDAGAI,99-115 MOUNT ST (CNR MIDDLE ST),GUNDAGAI SOUTH,NSW,2722,-35.08184205,148.0944578,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
A716,Liberty Oil Convenience (LOC),Shell,SHELL GUNNEDAH TRUCKSTOP,1 KAMILAROI HIGHWAY,GUNNEDAH,NSW,2380,-30.973397,150.24255,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
A063,Alliance,Shell,SHELL COLES EXPRESS HALFWAY CREEK,4974 PACIFIC HIGHWAY (CNR LEMON TREE RD),HALFWAY CREEK,NSW,2460,-29.934899,153.094222,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
X060,Viva Direct (DO),Shell,SHELL HAY SOUTH,STURT HWY,HAY,NSW,2711,-34.52029927,144.8396545,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
B997,Alliance,Shell,SHELL COLES EXPRESS MOTTO FARM,2137 PACIFIC HIGHWAY,HEATHERBRAE,NSW,2324,-32.79834793,151.7178325,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
B547,Alliance,Shell,SHELL COLES EXPRESS HEXHAM,21 MAITLAND ROAD,HEXHAM,NSW,2322,-32.84673,151.693664,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
A527,Alliance,Shell,SHELL COLES EXPRESS KEMPSEY,165 SMITH ST,KEMPSEY,NSW,2440,-31.07059,152.845303,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
A430,Alliance,Shell,SHELL COLES EXPRESS KOORAGANG ISLAND,130 CORMORANT RD,KOORAGANG,NSW,2304,-32.884391,151.762939,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
B544,Alliance,Shell,SHELL COLES EXPRESS LANSVALE,65-99 HUME HIGHWAY,LANSVALE,NSW,2166,-33.89295509,150.9606682,Open,Metro,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
A901,Alliance,Shell,SHELL COLES EXPRESS ALBURY NORTH,575 WAGGA RD,LAVINGTON,NSW,2641,-36.036718,146.963457,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
